
========== 13 9 0.6 3
0 0 -4 6
amplitude  142.897 0 153
mean       0.166991 -0.2 2
sigma      0.168025 0 0.6
y-itercept 5.92466 0 1530
slope      -1.02965 -30.6 0
q-Boundary -1.18754 -1.6875 -0.6875
========== 13 10 0.6 3
0 0 -4 6
amplitude  108.437 0 124
mean       0.154357 -0.2 2
sigma      0.174333 0 0.6
y-itercept 6.74944 0 1240
slope      -1.21889 -24.8 0
q-Boundary -1.38101 -1.8875 -0.8875
========== 13 11 0.6 3
0 0 -4 6
amplitude  78.6479 0 100
mean       0.150344 -0.2 2
sigma      0.172577 0 0.6
y-itercept 8.27732 0 1000
slope      -1.62728 -20 0
q-Boundary -1.58315 -2.0875 -1.0875
========== 13 12 0.6 3
0 0 -4 6
amplitude  62.8045 0 85
mean       0.135154 -0.2 2
sigma      0.179837 0 0.6
y-itercept 7.49462 0 850
slope      -1.46316 -17 0
q-Boundary -1.78417 -2.2875 -1.2875
========== 13 13 0.6 3
0 0 -4 6
amplitude  91.1279 0 116
mean       0.11359 -0.2 2
sigma      0.19644 0 0.6
y-itercept 14.266 0 1160
slope      -2.66705 -23.2 0
q-Boundary -1.96382 -2.475 -1.475
========== 13 14 0.6 3
0 0 -4 6
amplitude  108.164 0 163
mean       0.152466 -0.2 2
sigma      0.20566 0 0.6
y-itercept 32.2634 0 1630
slope      -6.18871 -32.6 0
q-Boundary -2.16267 -2.65 -1.65
========== 13 15 0.6 3
0 0 -4 6
amplitude  44.3951 0 101
mean       0.175048 -0.2 2
sigma      0.187073 0 0.6
y-itercept 16.8571 0 1010
slope      -3.66004 -20.2 0
q-Boundary -2.36557 -2.875 -1.875
========== 13 16 0.6 3
0 0 -4 6
amplitude  37.5497 0 135
mean       0.199721 -0.2 2
sigma      0.21205 0 0.6
y-itercept 22.9102 0 1350
slope      -5.88877 -27 0
q-Boundary -2.5084 -3.05 -2.05

========== 14 0 0.6 3
0 0 -4 6
amplitude  1430.7 0 1486
mean       0.143158 -0.2 2
sigma      0.171129 0 0.6
y-itercept 40.5584 0 14860
slope      -5.25996 -297.2 0
q-Boundary -2.25043 -2.9375 -1.9375
========== 14 5 0.6 3
0 0 -4 6
amplitude  149.553 0 166
mean       0.138385 -0.2 2
sigma      0.13635 0 0.6
y-itercept 3.24999 0 1660
slope      -0.47154 -33.2 0
q-Boundary -0.233141 -0.8375 0.1625
========== 14 6 0.6 3
0 0 -4 6
amplitude  365.42 0 376
mean       0.11183 -0.2 2
sigma      0.151536 0 0.6
y-itercept 3.20494 0 3760
slope      -0.387661 -75.2 0
q-Boundary -0.537562 -1.0375 -0.0375
========== 14 7 0.6 3
0 0 -4 6
amplitude  258.85 0 268
mean       0.145489 -0.2 2
sigma      0.156982 0 0.6
y-itercept 4.06745 0 2680
slope      -0.584079 -53.6 0
q-Boundary -0.712536 -1.2125 -0.2125
========== 14 8 0.6 3
0 0 -4 6
amplitude  178.754 0 196
mean       0.163572 -0.2 2
sigma      0.173831 0 0.6
y-itercept 5.40174 0 1960
slope      -0.909218 -39.2 0
q-Boundary -0.953891 -1.4875 -0.4875
========== 14 9 0.6 3
0 0 -4 6
amplitude  127.218 0 137
mean       0.170873 -0.2 2
sigma      0.182356 0 0.6
y-itercept 4.6715 0 1370
slope      -0.737033 -27.4 0
q-Boundary -1.18754 -1.6875 -0.6875
========== 14 10 0.6 3
0 0 -4 6
amplitude  106.153 0 113
mean       0.168397 -0.2 2
sigma      0.18268 0 0.6
y-itercept 4.85529 0 1130
slope      -0.772011 -22.6 0
q-Boundary -1.37435 -1.8875 -0.8875
========== 14 11 0.6 3
0 0 -4 6
amplitude  76.9945 0 95
mean       0.155448 -0.2 2
sigma      0.196228 0 0.6
y-itercept 5.64244 0 950
slope      -0.984085 -19 0
q-Boundary -1.58762 -2.0875 -1.0875
========== 14 12 0.6 3
0 0 -4 6
amplitude  120.497 0 144
mean       0.139854 -0.2 2
sigma      0.191781 0 0.6
y-itercept 11.5382 0 1440
slope      -2.0795 -28.8 0
q-Boundary -1.75372 -2.275 -1.275
========== 14 13 0.6 3
0 0 -4 6
amplitude  94.0641 0 114
mean       0.137635 -0.2 2
sigma      0.203237 0 0.6
y-itercept 10.2784 0 1140
slope      -1.80295 -22.8 0
q-Boundary -1.97503 -2.475 -1.475
========== 14 14 0.6 3
0 0 -4 6
amplitude  257.699 0 280
mean       0.1716 -0.2 2
sigma      0.216842 0 0.6
y-itercept 45.558 0 2800
slope      -7.8977 -56 0
q-Boundary -2.10007 -2.6 -1.6
========== 14 15 0.6 3
0 0 -4 6
