5.86, 3, 0.80, 0.295, 927.874, ,,   67.197164, 3.923,   5.640166, 0.730,   1.026369, 0.032,   1.908398, 0.084,   ,,   0.123631, 0.293,   0.133471, 0.042,   ,,   
5.86, 0, 0.70, 3.426, 679.777, ,,   52.369287, 1.097,   17.907059, 0.821,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.70, 1.172, 730.573, ,,   58.798753, 0.806,   13.230851, 0.853,   1.126182, 0.011,   1.454186, 0.044,   ,,   ,,   ,,   ,,   
5.86, 2, 0.70, 0.079, 1225.206, ,,   58.604099, 0.442,   6.069546, 2.214,   1.080413, 0.023,   1.960999, 0.072,   0.570791, 0.193,   ,,   ,,   0.865721, 0.142,   
5.86, 0, 0.70, 3.272, 676.674, ,,   52.183504, 1.074,   17.524077, 0.818,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.70, 1.228, 737.564, ,,   58.562602, 0.791,   12.597434, 1.187,   1.121919, 0.010,   1.469723, 0.053,   ,,   ,,   ,,   ,,   
5.86, 2, 0.70, 0.303, 1400.389, ,,   52.062631, 2.081,   14.930874, 4.939,   1.189895, 0.035,   2.504037, 0.066,   0.120289, 0.037,   ,,   ,,   0.535449, 0.060,   
5.86, 3, 0.70, 1.172, 730.574, ,,   58.799621, 1.372,   13.230265, 0.856,   1.126189, 0.013,   1.454203, 0.042,   ,,   0.036814, 148.289,   1.562196, 0.506,   ,,   
5.86, 4, 0.00, 1.531, 690.730, 0.666260, 0.007,   54.242797, 2.011,   21.042487, 1.125,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 5, 0.00, 0.078, 1090.062, 0.731371, 0.023,   71.997759, 4.863,   5.494509, 0.790,   0.987083, 0.032,   1.997263, 0.081,   ,,   ,,   ,,   ,,   
5.86, 6, 0.00, 0.067, 794.445, 0.656808, 0.070,   58.167510, 0.711,   14.328020, 1.844,   1.271083, 0.006,   1.936999, 0.141,   0.103923, 0.013,   ,,   ,,   0.216053, 0.031,   
5.86, 4, 0.00, 1.551, 688.889, 0.666739, 0.007,   54.191039, 1.995,   20.754865, 1.165,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 5, 0.00, 0.232, 1724.147, 0.581489, 0.031,   56.586353, 0.097,   3.092313, 0.339,   1.176915, 0.000,   2.540731, 0.066,   ,,   ,,   ,,   ,,   
5.86, 6, 0.00, 1.957, 9.460, 1.022470, 0.019,   70.065890, 1.144,   1.771894, 0.609,   1.050433, 0.008,   0.201402, 0.115,   0.104973, 0.029,   ,,   ,,   0.521251, 0.032,   
5.86, 7, 0.00, 0.345, 326.276, 0.605837, 0.082,   55.519357, 3.555,   24.195453, 13.229,   1.004503, 0.041,   0.135079, 0.091,   ,,   137.797858, 50.366,   0.254206, 0.172,   ,,   
7.77, 0, 1.00, 603.488, 752.920, ,,   54.951663, 0.035,   7.914050, 0.042,   ,,   ,,   ,,   ,,   ,,   ,,   
7.77, 1, 1.00, 19.892, 662.750, ,,   76.740388, 0.279,   6.498208, 0.028,   0.968208, 0.002,   1.349167, 0.001,   ,,   ,,   ,,   ,,   
7.77, 2, 1.00, 7.093, 529.837, ,,   60.026445, 1.021,   12.196245, 0.488,   1.236343, 0.013,   1.158578, 0.006,   0.392010, 0.014,   ,,   ,,   0.396270, 0.009,   
7.77, 0, 1.00, 418.110, 740.346, ,,   55.786859, 0.037,   6.375552, 0.033,   ,,   ,,   ,,   ,,   ,,   ,,   
7.77, 1, 1.00, 28.600, 759.735, ,,   60.292296, 0.242,   5.542689, 0.027,   1.123832, 0.002,   1.425076, 0.002,   ,,   ,,   ,,   ,,   
7.77, 2, 1.00, 7.090, 532.444, ,,   62.385508, 1.048,   9.712413, 0.457,   1.191245, 0.014,   1.163301, 0.012,   0.440033, 0.018,   ,,   ,,   0.444863, 0.012,   
7.77, 3, 1.00, 16.464, 661.378, ,,   70.964262, 0.790,   5.569108, 0.074,   1.019758, 0.007,   1.362965, 0.002,   ,,   5.998681, 0.273,   0.465821, 0.030,   ,,   
8.13, 0, 1.00, 5.502, 632.845, ,,   58.960628, 0.232,   4.135068, 0.188,   ,,   ,,   ,,   ,,   ,,   ,,   
8.13, 1, 1.00, 2.186, 689.559, ,,   79.328062, 7.520,   4.134626, 0.442,   0.945823, 0.057,   1.611543, 0.058,   ,,   ,,   ,,   ,,   
8.13, 2, 1.00, 0.979, 328.791, ,,   78.378236, 4.127,   30.112805, 12.445,   1.159158, 0.036,   1.111467, 0.057,   0.102443, 0.045,   ,,   ,,   0.101376, 0.063,   
8.13, 0, 1.00, 4.403, 654.077, ,,   58.560463, 0.228,   3.934413, 0.153,   ,,   ,,   ,,   ,,   ,,   ,,   
8.13, 1, 1.00, 1.537, 692.920, ,,   73.265221, 2.927,   2.047080, 0.325,   1.008736, 0.021,   1.759388, 0.042,   ,,   ,,   ,,   ,,   
8.13, 2, 1.00, 1.158, 379.679, ,,   79.478861, 5.554,   27.033163, 8.193,   1.043310, 0.061,   1.323495, 0.116,   0.100062, 0.041,   ,,   ,,   0.450867, 0.046,   
8.13, 3, 1.00, 0.945, 520.108, ,,   58.930755, 0.000,   3.019984, 0.137,   1.150444, 0.005,   1.382215, 2.047,   ,,   5.678001, 0.107,   2.219628, 0.001,   ,,   
8.13, 0, 0.90, 5.207, 749.714, ,,   58.173710, 0.300,   6.571029, 0.241,   ,,   ,,   ,,   ,,   ,,   ,,   
8.13, 1, 0.90, 0.768, 702.051, ,,   97.531909, 6.188,   5.165905, 0.875,   0.835055, 0.032,   1.523741, 0.069,   ,,   ,,   ,,   ,,   
8.13, 2, 0.90, 0.823, 336.375, ,,   89.593071, 10.496,   17.313638, 4.849,   1.083055, 0.058,   0.710531, 0.085,   0.291453, 0.161,   ,,   ,,   0.105386, 0.126,   
8.13, 0, 0.90, 4.989, 758.297, ,,   58.277181, 0.278,   5.982423, 0.200,   ,,   ,,   ,,   ,,   ,,   ,,   
8.13, 1, 0.90, 0.658, 853.344, ,,   67.972217, 3.235,   3.181728, 0.875,   1.044850, 0.026,   1.733531, 0.090,   ,,   ,,   ,,   ,,   
8.13, 2, 0.90, 0.591, 743.012, ,,   80.574494, 12.655,   4.888817, 2.551,   0.961158, 0.077,   1.730184, 0.103,   0.365034, 0.193,   ,,   ,,   0.609352, 0.044,   
8.13, 3, 0.90, 0.527, 673.422, ,,   75.270425, 5.290,   3.737280, 1.316,   0.997824, 0.042,   1.573745, 0.221,   ,,   2.696362, 0.696,   2.680495, 0.202,   ,,   
8.13, 0, 0.80, 2.895, 826.908, ,,   57.093400, 0.368,   10.013285, 0.304,   ,,   ,,   ,,   ,,   ,,   ,,   
8.13, 1, 0.80, 0.662, 857.796, ,,   54.909951, 8.146,   9.993757, 0.564,   1.195134, 0.108,   1.386229, 0.043,   ,,   ,,   ,,   ,,   
8.13, 2, 0.80, 0.407, 896.748, ,,   99.691777, 15.406,   4.032345, 0.389,   0.825860, 0.065,   1.632170, 0.090,   0.692203, 0.086,   ,,   ,,   0.614289, 0.084,   
8.13, 0, 0.80, 3.655, 833.293, ,,   57.321180, 0.375,   9.334505, 0.300,   ,,   ,,   ,,   ,,   ,,   ,,   
