# det side strip channel_type expected entries status
29 0 5 paired 1 0 missing
29 0 6 paired 1 0 missing
29 0 7 paired 1 0 missing
30 0 0 paired 1 0 missing
30 0 1 paired 1 0 missing
30 0 2 paired 1 0 missing
30 0 3 paired 1 0 missing
30 0 4 paired 1 0 missing
30 0 5 paired 1 0 missing
30 0 6 paired 1 0 missing
30 0 7 paired 1 0 missing
31 0 0 paired 1 0 missing
31 0 1 paired 1 0 missing
31 0 2 paired 1 0 missing
31 0 3 paired 1 0 missing
31 0 4 paired 1 0 missing
31 0 5 paired 1 0 missing
31 0 6 paired 1 0 missing
31 0 7 paired 1 0 missing
33 0 0 paired 1 0 missing
33 0 1 paired 1 0 missing
33 0 2 paired 1 0 missing
33 0 3 paired 1 0 missing
33 0 4 paired 1 0 missing
33 0 5 paired 1 0 missing
33 0 6 paired 1 0 missing
33 0 7 paired 1 0 missing
34 0 0 paired 1 0 missing
34 0 1 paired 1 0 missing
34 0 2 paired 1 0 missing
34 0 3 paired 1 0 missing
34 0 4 paired 1 0 missing
34 0 5 paired 1 0 missing
34 0 6 paired 1 0 missing
34 0 7 paired 1 0 missing
35 0 0 paired 1 0 missing
35 0 1 paired 1 0 missing
35 0 2 paired 1 0 missing
35 0 3 paired 1 0 missing
35 0 4 paired 1 0 missing
35 0 5 paired 1 0 missing
35 0 6 paired 1 0 missing
35 0 7 paired 1 0 missing
37 0 0 paired 1 0 missing
37 0 1 paired 1 0 missing
37 0 2 paired 1 0 missing
37 0 3 paired 1 0 missing
37 0 4 paired 1 0 missing
37 0 5 paired 1 0 missing
37 0 6 paired 1 0 missing
37 0 7 paired 1 0 missing
38 0 0 paired 1 0 missing
38 0 1 paired 1 0 missing
38 0 2 paired 1 0 missing
38 0 3 paired 1 0 missing
38 0 4 paired 1 0 missing
38 0 5 paired 1 0 missing
38 0 6 paired 1 0 missing
38 0 7 paired 1 0 missing
39 0 0 paired 1 0 missing
39 0 1 paired 1 0 missing
39 0 2 paired 1 0 missing
39 0 3 paired 1 0 missing
39 0 4 paired 1 0 missing
39 0 5 paired 1 0 missing
39 0 6 paired 1 0 missing
39 0 7 paired 1 0 missing
40 0 0 paired 1 0 missing
40 0 1 paired 1 0 missing
40 0 2 paired 1 0 missing
40 0 3 paired 1 0 missing
40 0 4 paired 1 0 missing
40 0 5 paired 1 0 missing
40 0 6 paired 1 0 missing
40 0 7 paired 1 0 missing
41 0 0 paired 1 0 missing
41 0 1 paired 1 0 missing
41 0 2 paired 1 0 missing
41 0 3 paired 1 0 missing
41 0 4 paired 1 0 missing
41 0 5 paired 1 0 missing
41 0 6 paired 1 0 missing
41 0 7 paired 1 0 missing
42 0 0 paired 1 0 missing
42 0 1 paired 1 0 missing
42 0 2 paired 1 0 missing
42 0 3 paired 1 0 missing
42 0 4 paired 1 0 missing
42 0 5 paired 1 0 missing
42 0 6 paired 1 0 missing
42 0 7 paired 1 0 missing
43 0 0 paired 1 0 missing
43 0 1 paired 1 0 missing
43 0 2 paired 1 0 missing
43 0 3 paired 1 0 missing
43 0 4 paired 1 0 missing
43 0 5 paired 1 0 missing
43 0 6 paired 1 0 missing
43 0 7 paired 1 0 missing
44 0 0 paired 1 0 missing
44 0 1 paired 1 0 missing
44 0 2 paired 1 0 missing
44 0 3 paired 1 0 missing
44 0 4 paired 1 0 missing
44 0 5 paired 1 0 missing
44 0 6 paired 1 0 missing
44 0 7 paired 1 0 missing
45 0 0 paired 1 0 missing
45 0 1 paired 1 0 missing
45 0 2 paired 1 0 missing
45 0 3 paired 1 0 missing
45 0 4 paired 1 0 missing
45 0 5 paired 1 0 missing
45 0 6 paired 1 0 missing
45 0 7 paired 1 0 missing
46 0 0 paired 1 0 missing
46 0 1 paired 1 0 missing
46 0 2 paired 1 0 missing
46 0 3 paired 1 0 missing
46 0 4 paired 1 0 missing
46 0 5 paired 1 0 missing
46 0 6 paired 1 0 missing
46 0 7 paired 1 0 missing
48 0 0 paired 1 0 missing
48 0 1 paired 1 0 missing
48 0 2 paired 1 0 missing
48 0 3 paired 1 0 missing
48 0 4 paired 1 0 missing
48 0 5 paired 1 0 missing
48 0 6 paired 1 0 missing
48 0 7 paired 1 0 missing
49 0 0 paired 1 0 missing
49 0 1 paired 1 0 missing
49 0 2 paired 1 0 missing
49 0 3 paired 1 0 missing
49 0 4 paired 1 0 missing
49 0 5 paired 1 0 missing
49 0 6 paired 1 0 missing
49 0 7 paired 1 0 missing
50 0 0 paired 1 0 missing
50 0 1 paired 1 0 missing
50 0 2 paired 1 0 missing
50 0 3 paired 1 0 missing
50 0 4 paired 1 0 missing
50 0 5 paired 1 0 missing
50 0 6 paired 1 0 missing
50 0 7 paired 1 0 missing
60 0 0 paired 1 0 missing
60 0 1 paired 1 0 missing
60 0 2 paired 1 0 missing
60 0 3 paired 1 0 missing
60 0 4 paired 1 0 missing
60 0 5 paired 1 0 missing
60 0 6 paired 1 0 missing
60 0 7 paired 1 0 missing
139 0 0 paired 1 0 missing
139 0 1 paired 1 0 missing
139 0 2 paired 1 0 missing
139 0 3 paired 1 0 missing
139 0 4 paired 1 0 missing
139 0 5 paired 1 0 missing
139 0 6 paired 1 0 missing
139 0 7 paired 1 0 missing
141 0 0 paired 1 0 missing
141 0 1 paired 1 0 missing
141 0 2 paired 1 0 missing
141 0 3 paired 1 0 missing
141 0 4 paired 1 0 missing
141 0 5 paired 1 0 missing
141 0 6 paired 1 0 missing
141 0 7 paired 1 0 missing
142 0 0 paired 1 0 missing
142 0 1 paired 1 0 missing
142 0 2 paired 1 0 missing
142 0 3 paired 1 0 missing
142 0 4 paired 1 0 missing
142 0 5 paired 1 0 missing
142 0 6 paired 1 0 missing
142 0 7 paired 1 0 missing
